Author;Date;Content;Attachments;
"Senvr#7635";"02-Jun-17 10:31 PM";"i gotta kill you so i can put my bag";"";
"Senvr#7635";"02-Jun-17 10:31 PM";"I bagged carmel";"";
"linuxguy11#3353";"03-Jun-17 08:46 PM";"put the ak in a small box and lock it";"";
"linuxguy11#3353";"03-Jun-17 08:53 PM";"that is what my friend done before he betrayed me, my suspicions are rising";"";
"Senvr#7635";"03-Jun-17 08:54 PM";"I agree";"";
"Senvr#7635";"03-Jun-17 08:54 PM";"But";"";
"linuxguy11#3353";"03-Jun-17 09:43 PM";"1879";"";
"linuxguy11#3353";"03-Jun-17 10:10 PM";"can i go in negotiation room";"";
"Senvr#7635";"03-Jun-17 10:12 PM";"carmels gonna talk to you";"";
"Senvr#7635";"03-Jun-17 10:12 PM";"alone";"";
"Senvr#7635";"03-Jun-17 11:10 PM";"how is he in here this is a members channel";"";
"linuxguy11#3353";"08-Jun-17 05:31 PM";"When we playing next";"";
"Senvr#7635";"08-Jun-17 09:30 PM";"Maybe we should next wipe?";"";
"linuxguy11#3353";"08-Jun-17 09:30 PM";"yep";"";
"linuxguy11#3353";"08-Jun-17 09:30 PM";"sounds good";"";
"Senvr#7635";"08-Jun-17 09:31 PM";"Apparently my graphics card is crashing 
gonna replace it soon";"";
"Senvr#7635";"08-Jun-17 09:31 PM";"Also going to put a hard drive on my RPI";"";
"linuxguy11#3353";"08-Jun-17 09:31 PM";"Between me and you, mind if I pull a prank on you guys next wipe";"";
"Senvr#7635";"08-Jun-17 09:31 PM";"What kind";"";
"linuxguy11#3353";"08-Jun-17 09:31 PM";"I have a friend who is a very well known rust youtuber";"";
"Senvr#7635";"08-Jun-17 09:31 PM";"Who";"";
"Senvr#7635";"08-Jun-17 09:32 PM";"Like a /friend/ as in you know him";"";
"Senvr#7635";"08-Jun-17 09:32 PM";"Or he's on your friendslist";"";
"linuxguy11#3353";"08-Jun-17 09:32 PM";"Well, I've been talking to him about helping him with his game";"";
"Senvr#7635";"08-Jun-17 09:32 PM";"ah";"";
"Senvr#7635";"08-Jun-17 09:32 PM";"Ok so whats the pran";"";
"Senvr#7635";"08-Jun-17 09:32 PM";"Prank*";"";
"linuxguy11#3353";"08-Jun-17 09:32 PM";"https://www.youtube.com/user/LOLOUTftw'";"";
"Senvr#7635";"08-Jun-17 09:33 PM";"Well";"";
"linuxguy11#3353";"08-Jun-17 09:33 PM";"Ill do it to carmel, and new guy";"";
"Senvr#7635";"08-Jun-17 09:33 PM";"Ok";"";
"Senvr#7635";"08-Jun-17 09:33 PM";"Ill be in on it";"";
"Senvr#7635";"08-Jun-17 09:33 PM";"Whats the idea";"";
"linuxguy11#3353";"08-Jun-17 09:33 PM";"https://www.youtube.com/watch?v=imoPyJUA9xs";"";
"linuxguy11#3353";"08-Jun-17 09:34 PM";"Basically the same thing that ""Heckler"" done";"";
"Senvr#7635";"08-Jun-17 09:40 PM";"ok";"";
"Senvr#7635";"08-Jun-17 09:40 PM";"crashed im watching it now";"";
"linuxguy11#3353";"08-Jun-17 09:40 PM";"its hilarious";"";
"Senvr#7635";"08-Jun-17 09:42 PM";"nice";"";
"Senvr#7635";"08-Jun-17 09:43 PM";"Kek";"";
"Senvr#7635";"08-Jun-17 09:43 PM";"Thats funny";"";
"linuxguy11#3353";"08-Jun-17 09:43 PM";"ikr";"";
"Senvr#7635";"08-Jun-17 09:44 PM";"Oh jesus";"";
"Senvr#7635";"08-Jun-17 09:44 PM";"XD";"";
"Senvr#7635";"08-Jun-17 09:44 PM";"You know how to micbait?";"";
"Senvr#7635";"08-Jun-17 09:44 PM";"soundbait?";"";
"linuxguy11#3353";"08-Jun-17 09:44 PM";"yep";"";
"Senvr#7635";"08-Jun-17 09:44 PM";"Ok good";"";
"linuxguy11#3353";"08-Jun-17 09:44 PM";"i need to fix audio drivers";"";
"linuxguy11#3353";"08-Jun-17 09:45 PM";"im prob gonna get LOLOUT to do it";"";
"linuxguy11#3353";"08-Jun-17 09:45 PM";"hes funnier";"";
"Senvr#7635";"08-Jun-17 09:45 PM";"Ill act like i dont know whats up";"";
"linuxguy11#3353";"08-Jun-17 09:45 PM";"lol";"";
"Senvr#7635";"08-Jun-17 09:45 PM";"How can i know he wont take our shit or anything";"";
"linuxguy11#3353";"08-Jun-17 09:45 PM";"he won't";"";
"Senvr#7635";"08-Jun-17 09:45 PM";"how do i know";"";
"linuxguy11#3353";"08-Jun-17 09:46 PM";"hes a good guy";"";
"linuxguy11#3353";"08-Jun-17 09:46 PM";"i think";"";
"linuxguy11#3353";"08-Jun-17 09:46 PM";"thats why im making sure its ok with you";"";
"Senvr#7635";"08-Jun-17 09:46 PM";"Ill keep loot in a secure place";"";
"linuxguy11#3353";"08-Jun-17 09:46 PM";"yep";"";
"linuxguy11#3353";"08-Jun-17 09:47 PM";"justy make lr codes different";"";
"Senvr#7635";"08-Jun-17 09:47 PM";"That turret one is hilarious";"";
"linuxguy11#3353";"08-Jun-17 09:47 PM";"ik";"";
"Senvr#7635";"08-Jun-17 09:48 PM";"Tell him not to do anything malicious";"";
"Senvr#7635";"08-Jun-17 09:48 PM";"Turret troll is fine";"";
"linuxguy11#3353";"08-Jun-17 09:49 PM";"well we probs wont have turret";"";
"Senvr#7635";"08-Jun-17 09:49 PM";"Malicious is like blowing up things, killing players stealing their loot";"";
"Senvr#7635";"08-Jun-17 09:49 PM";"etc";"";
"Senvr#7635";"08-Jun-17 09:49 PM";"etc";"";
"linuxguy11#3353";"08-Jun-17 09:49 PM";"yep ik";"";
"Senvr#7635";"08-Jun-17 09:49 PM";"Or making us blow up things";"";
"Senvr#7635";"08-Jun-17 09:49 PM";"Like turrets";"";
"linuxguy11#3353";"08-Jun-17 09:49 PM";"yep";"";
"linuxguy11#3353";"08-Jun-17 09:51 PM";"i prob wont";"";
"linuxguy11#3353";"08-Jun-17 09:51 PM";"but if i do, im gonna get your perm";"";
"Senvr#7635";"08-Jun-17 09:51 PM";"Ok";"";
"Senvr#7635";"08-Jun-17 09:51 PM";"I approve of it";"";
"Senvr#7635";"08-Jun-17 09:51 PM";"Ill act like idk";"";
"linuxguy11#3353";"08-Jun-17 09:51 PM";"lol";"";
"Senvr#7635";"08-Jun-17 09:51 PM";"Ill maybe drop him some loot/weapons or something";"";
"Senvr#7635";"08-Jun-17 09:51 PM";"&& not kill him should i see him";"";
"Senvr#7635";"08-Jun-17 09:52 PM";"Carmel is trash with weaponry so";"";
"Senvr#7635";"08-Jun-17 09:54 PM";"XD";"";
"Senvr#7635";"08-Jun-17 09:54 PM";"That video was hallarious";"";
"linuxguy11#3353";"08-Jun-17 09:55 PM";"Whatch his Planet rust series";"";
"linuxguy11#3353";"08-Jun-17 09:55 PM";"IT IS AMAZING";"";
"Senvr#7635";"08-Jun-17 10:05 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/322602084618993664/KG6V03M.png";
"Senvr#7635";"08-Jun-17 10:05 PM";"thats not the right one";"";
"linuxguy11#3353";"08-Jun-17 10:06 PM";"funny anywzaays";"";
"linuxguy11#3353";"13-Jun-17 05:47 PM";"​I made a discord for the group, the code is: rEbnUE3";"";
"linuxguy11#3353";"29-Jun-17 10:37 PM";"undeafen ASAP\";"";
"linuxguy11#3353";"02-Jul-17 12:22 PM";"GET IN DISCORD";"";
"Senvr#7635";"02-Jul-17 12:23 PM";"OK";"";
"linuxguy11#3353";"02-Jul-17 01:31 PM";"good stufff chest is 4713";"";
"Senvr#7635";"02-Jul-17 02:32 PM";"cant speak rn hold on";"";
"linuxguy11#3353";"03-Jul-17 10:55 PM";"i scared agile off";"";
"Senvr#7635";"03-Jul-17 10:55 PM";"Im back";"";
"linuxguy11#3353";"04-Jul-17 07:09 PM";"in alerts tell people to get on tomorrow";"";
"linuxguy11#3353";"06-Jul-17 08:58 AM";"you finlly on";"";
"linuxguy11#3353";"06-Jul-17 08:58 AM";"get in discord plz";"";
"Senvr#7635";"06-Jul-17 08:58 AM";"i just got on at 10 am my tim";"";
"Senvr#7635";"06-Jul-17 08:58 AM";"yes";"";
"Senvr#7635";"06-Jul-17 08:59 AM";"My ear hurts like raw anus";"";
"linuxguy11#3353";"06-Jul-17 08:59 AM";"ok get in discord and i fix it";"";
"linuxguy11#3353";"06-Jul-17 10:51 AM";"50.25.66.197";"";
"Senvr#7635";"06-Jul-17 06:07 PM";"Im about damn ready to.boot off agile";"";
"linuxguy11#3353";"06-Jul-17 06:08 PM";"idc about your nagging";"";
"Senvr#7635";"06-Jul-17 06:08 PM";"Fine ill just go do it then.";"";
"Senvr#7635";"08-Jul-17 07:25 PM";"do we do rust soon";"";
"Senvr#7635";"15-Jul-17 10:00 PM";"i made some raspberry pi scripts";"";
"Senvr#7635";"15-Jul-17 10:00 PM";"but i had to format my stuff to integrate a hdd into the os, my dad was helping me (because he thinks i cant do anything) and he accidently erased all my data i was keeping";"";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222387467190282/1vQXB2j.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222388817494020/4e3.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222391371825152/5nBfE6D.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222392445698050/7LETXtc.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222392982568963/8oq1ixG.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222396338143243/148.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222396686270464/57b1fc0c6e0dc4ee39ce394d1267f87a.png";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222397734846474/200_s.gif";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222399358042127/70132.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222400507019266/b51.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222430987157514/cUUnlUL.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222438667059204/DUdVa8P.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222443029004298/Gladtohinder_09bed275ea37d0aa6626ef0ac4cf6e8b.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222443939168256/gay.PNG";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222445168099328/hce0iaF.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222446799683595/oh.PNG";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222448146186241/RBsQb4s.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222450067177472/Simpsonreactionpics_3efceb_5646490.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222451895631882/sLNiDcD.jpg";
"Senvr#7635";"16-Jul-17 12:07 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222453321957389/sobbco1.jpg";
"Senvr#7635";"16-Jul-17 12:08 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222476780437515/tl175eK.jpg";
"Senvr#7635";"16-Jul-17 12:08 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222482484822017/U1kPbY9.jpg";
"Senvr#7635";"16-Jul-17 12:08 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222484900741120/vJY3Thc.jpg";
"Senvr#7635";"16-Jul-17 12:08 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222487559929867/wo.PNG";
"Senvr#7635";"16-Jul-17 12:08 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/336222488990187523/yykDMea.jpg";
"Senvr#7635";"16-Jul-17 12:08 PM";"i am retarded";"";
"linuxguy11#3353";"16-Jul-17 12:15 PM";"no, just special";"";
"linuxguy11#3353";"16-Jul-17 12:15 PM";"lol";"";
"Senvr#7635";"16-Jul-17 04:21 PM";"i kept calling the lawn mower a microwave";"";
"linuxguy11#3353";"16-Jul-17 04:21 PM";"same m8";"";
"Senvr#7635";"16-Jul-17 04:29 PM";"im not pro-choise im pro murder";"";
"Senvr#7635";"16-Jul-17 04:29 PM";"You know the story of soloman and the baby";"";
"Senvr#7635";"16-Jul-17 04:29 PM";"solomon*";"";
"Senvr#7635";"16-Jul-17 04:29 PM";"Like";"";
"Senvr#7635";"16-Jul-17 04:30 PM";"Some women are arguing over who owns the baby";"";
"Senvr#7635";"16-Jul-17 04:30 PM";"And the king says ""LETS SAW THE BABY IN HALF""";"";
"linuxguy11#3353";"16-Jul-17 04:30 PM";"get in discord";"";
"linuxguy11#3353";"17-Jul-17 04:44 PM";"public float rotationSpeedX = 0;
    public float rotationSpeedY = 1;
    public float rotationSpeedZ = 0;
    public Vector3 currentRotation;

    void Start() {
        Debug.Log(""Start()"");
        //transform.rotation.eulerAngles = new Vector3(0, 0, 0);
        transform.rotation = Quaternion.Euler(0, 0, 0);
        currentRotation = transform.eulerAngles;
    }
    void FixedUpdate() {
        currentRotation.x += rotationSpeedX * Time.deltaTime;
        currentRotation.y += rotationSpeedY * Time.deltaTime;
        currentRotation.z += rotationSpeedZ * Time.deltaTime;

        if(currentRotation.y >= 359 - rotationSpeedY)
            currentRotation.y = 0;
        if(currentRotation.x >= 359 - rotationSpeedY)
            currentRotation.x = 0;
        if(currentRotation.z >= 359 - rotationSpeedY)
            currentRotation.z = 0;

        transform.eulerAngles = currentRotation;
    }
    void OnDrawGizmos() {
        Debug.Log(""OnDrawGizmos()"");
    }";"";
"Senvr#7635";"18-Jul-17 01:54 AM";"I learned some tutorials and learned a bunch";"";
"Senvr#7635";"18-Jul-17 01:55 AM";"although i dont remember the functions exactly i do have an understanding";"";
"linuxguy11#3353";"18-Jul-17 12:11 PM";"ok";"";
"linuxguy11#3353";"18-Jul-17 12:11 PM";"gotta start somewhere";"";
"linuxguy11#3353";"18-Jul-17 12:11 PM";"------Some of the useful parameters are------";"";
"linuxguy11#3353";"18-Jul-17 12:12 PM";"gameObject - The current gameObject your script is attached to";"";
"linuxguy11#3353";"18-Jul-17 12:12 PM";"transform - The transform of the gameObject";"";
"linuxguy11#3353";"18-Jul-17 12:12 PM";"------Some of the useful methods are------";"";
"linuxguy11#3353";"18-Jul-17 12:13 PM";"gameObject.GetComponent<ComponentType>() -  Gets a component of ComponentType off the game object, returns null if the component don't exist";"";
"linuxguy11#3353";"18-Jul-17 12:14 PM";"GameObject.Find(""Name"") - Finds a game object in the game with a name";"";
"linuxguy11#3353";"18-Jul-17 12:18 PM";"Instantiate(GameObject) - Makes a clone of the provided gameobject";"";
"linuxguy11#3353";"18-Jul-17 12:18 PM";"Instantiate(GameObject, Transform, Quaternion) - Makes  a clone of the provided gameobject with a different transform";"";
"linuxguy11#3353";"18-Jul-17 12:20 PM";"gameObject.AddComponent<ComponentType>() - Adds a component to a gameObject with a specified type, returns the newly added component";"";
"Senvr#7635";"18-Jul-17 06:34 PM";"void Shoot ()
    {
        muzzleFlash.Play ();
        RaycastHit hit;

        if (Physics.Raycast (fpsCam.transform.position, fpsCam.transform.forward, out hit, range)) 
        {
            Debug.Log (hit.transform.name);

            Target target = hit.transform.GetComponent<Target> ();
            if (target != null) {
                target.TakeDamage (damage);
                Debug.Log (hit.transform.name + "" was hit for ""+damage+"" damage points"");
            }
            if (hit.rigidbody != null) {
                hit.rigidbody.AddForce (-hit.normal * damage * 100);
            }
            GameObject impactGO = Instantiate (impactEffect, hit.point, Quaternion.LookRotation (hit.normal));
            Destroy (impactGO, 1);
        }
    }";"";
"linuxguy11#3353";"18-Jul-17 06:34 PM";"OK";"";
"linuxguy11#3353";"18-Jul-17 06:34 PM";"PERFECT, Good code";"";
"Senvr#7635";"18-Jul-17 06:34 PM";"nouice";"";
"linuxguy11#3353";"18-Jul-17 06:34 PM";"RaycastHit hit;

        if (Physics.Raycast (fpsCam.transform.position, fpsCam.transform.forward, out hit, range))";"";
"linuxguy11#3353";"18-Jul-17 06:35 PM";"nice use of the ""out"" keyword 😃";"";
"Senvr#7635";"18-Jul-17 06:35 PM";"I made the force based on damage cause i assumed if it does more damage its likely hitting with more force";"";
"Senvr#7635";"18-Jul-17 06:35 PM";"like a 50 cal vs a 9mm, the force is different";"";
"linuxguy11#3353";"18-Jul-17 06:35 PM";"smart";"";
"linuxguy11#3353";"18-Jul-17 06:35 PM";"for the effect";"";
"linuxguy11#3353";"18-Jul-17 06:36 PM";"i recommend instantiating a gameobject with a special particle effect at hit.point";"";
"linuxguy11#3353";"18-Jul-17 06:37 PM";"First try out and figure out the ""particle system"" component";"";
"Senvr#7635";"18-Jul-17 06:37 PM";"I have that working and stuff i just have to make it better";"";
"linuxguy11#3353";"18-Jul-17 06:37 PM";"oh ok nice";"";
"linuxguy11#3353";"18-Jul-17 06:37 PM";"GameObject impactGO = Instantiate (impactEffect, hit.point, Quaternion.LookRotation (hit.normal));
            Destroy (impactGO, 1);";"";
"linuxguy11#3353";"18-Jul-17 06:37 PM";"ah didnt see that ^";"";
"linuxguy11#3353";"18-Jul-17 06:38 PM";"now later, get an alternative for instantiate";"";
"Senvr#7635";"18-Jul-17 06:38 PM";"https://youtu.be/MrKq4Zmm9kg demo";"";
"linuxguy11#3353";"18-Jul-17 06:38 PM";"the Instantiate() method takes about 10 ms which is ALOT";"";
"linuxguy11#3353";"18-Jul-17 06:38 PM";"neat";"";
"Senvr#7635";"18-Jul-17 06:38 PM";"there's a target script too";"";
"Senvr#7635";"18-Jul-17 06:38 PM";"for health and stuff";"";
"linuxguy11#3353";"18-Jul-17 06:38 PM";"ok";"";
"linuxguy11#3353";"18-Jul-17 06:39 PM";"for the instantiation replacement i recommend object pooling";"";
"linuxguy11#3353";"18-Jul-17 06:39 PM";"(what rust starts doing in the ""Asset warmup"" phase of loading)";"";
"Senvr#7635";"18-Jul-17 06:40 PM";"";"https://cdn.discordapp.com/attachments/320421951703351296/337045960209465354/whatthe-650x480.png";
"Senvr#7635";"18-Jul-17 06:40 PM";"found that on a website";"";
"linuxguy11#3353";"18-Jul-17 06:40 PM";"LOL";"";
"linuxguy11#3353";"18-Jul-17 06:41 PM";"Essentially you instantiate a version (impactGO) and disable it at the start of your script then when you need it you set the position and rotation and enable it, when youre done with it disable it";"";
"linuxguy11#3353";"18-Jul-17 06:41 PM";"Pretty simple";"";
"Senvr#7635";"18-Jul-17 06:44 PM";"ye";"";
"linuxguy11#3353";"18-Jul-17 06:45 PM";"steam now plz";"";
"Senvr#7635";"18-Jul-17 06:45 PM";"I dont think i really need to do that now but as soon as i finish the most of the scripts i will optimize them";"";
"Senvr#7635";"18-Jul-17 06:45 PM";"ok";"";
"linuxguy11#3353";"18-Jul-17 06:45 PM";"not now but later";"";
"Senvr#7635";"19-Jul-17 02:18 PM";"do you need any graphics or anything";"";
"linuxguy11#3353";"27-Jul-17 10:00 PM";"When you put up the wood in the furni, make sure to turn them on";"";
"linuxguy11#3353";"27-Jul-17 10:01 PM";"(the ones in the main/well-fortified base)";"";
"Senvr#7635";"27-Jul-17 10:01 PM";"f u r n i";"";
"Senvr#7635";"27-Jul-17 10:01 PM";"ok";"";
"linuxguy11#3353";"27-Jul-17 10:02 PM";"first 2 shoukld have ~900 metal/furni, and last 2 should have ~900 sulfur/furni";"";
"linuxguy11#3353";"27-Jul-17 10:03 PM";"tomorrow we should be able to *EASILY* to get what we lost and more";"";
"Senvr#7635";"27-Jul-17 10:03 PM";"maybe";"";
"Senvr#7635";"27-Jul-17 10:03 PM";"Eh";"";
"Senvr#7635";"27-Jul-17 10:03 PM";"I guess";"";
"linuxguy11#3353";"27-Jul-17 10:04 PM";"lesson we should learn from that is we need to be less greedy (which equals risky), when we don't have the gear to back it up";"";
"linuxguy11#3353";"27-Jul-17 10:04 PM";"tbh, our best stuff there was the buckshot and hazmat";"";
"linuxguy11#3353";"27-Jul-17 10:04 PM";"both common, and fairly easy to get";"";
"Senvr#7635";"27-Jul-17 10:04 PM";"We had double the buckshot back at home";"";
"Senvr#7635";"27-Jul-17 10:04 PM";"Have*";"";
"linuxguy11#3353";"27-Jul-17 10:04 PM";"yeah";"";
"Senvr#7635";"27-Jul-17 10:04 PM";"And waterpipes are ez";"";
"linuxguy11#3353";"27-Jul-17 10:05 PM";"theyre easier than easy";"";
"linuxguy11#3353";"27-Jul-17 10:05 PM";"lol";"";
"linuxguy11#3353";"27-Jul-17 10:05 PM";"want some of my crafts?";"";
"linuxguy11#3353";"27-Jul-17 10:05 PM";"(from KSP)";"";
"Senvr#7635";"27-Jul-17 10:05 PM";"Sure";"";
"linuxguy11#3353";"27-Jul-17 10:06 PM";"ill put them on dropbox";"";
"linuxguy11#3353";"27-Jul-17 10:08 PM";"my internet is being faster than my hdd today :/";"";
"linuxguy11#3353";"27-Jul-17 10:08 PM";"https://www.dropbox.com/s/qpxxjs8zestlvjm/b.zip?dl=0";"";
"linuxguy11#3353";"27-Jul-17 10:08 PM";"dont judge, i have some fucked up and wierd crafts";"";
"Senvr#7635";"27-Jul-17 10:08 PM";"cant be worse than mine";"";
"linuxguy11#3353";"27-Jul-17 10:08 PM";"lol";"";
"linuxguy11#3353";"27-Jul-17 10:09 PM";"i have a GIANT rovetr";"";
"linuxguy11#3353";"27-Jul-17 10:09 PM";"stuff for SPH and VAB";"";
"linuxguy11#3353";"27-Jul-17 10:09 PM";"i like SPH more";"";
"linuxguy11#3353";"27-Jul-17 10:09 PM";"planes are much kooler";"";
"linuxguy11#3353";"27-Jul-17 10:10 PM";"plus the plane I made for the multiplayer (ABCco. 4)";"";
"Senvr#7635";"27-Jul-17 10:12 PM";"im gonna";"";
"Senvr#7635";"27-Jul-17 10:12 PM";"turn them into gunships";"";
"linuxguy11#3353";"27-Jul-17 10:12 PM";"LOL";"";
"linuxguy11#3353";"27-Jul-17 10:12 PM";"gl";"";
"Senvr#7635";"27-Jul-17 10:12 PM";"""gl""";"";
"Senvr#7635";"27-Jul-17 10:12 PM";"gl more like gg ez";"";
"linuxguy11#3353";"27-Jul-17 10:12 PM";"do the ABCco 4";"";
"linuxguy11#3353";"27-Jul-17 10:12 PM";"it will be easiest";"";
"linuxguy11#3353";"27-Jul-17 10:12 PM";"its only Mach 1.5";"";
"Senvr#7635";"27-Jul-17 10:13 PM";"Whats ur fastest plane";"";
"linuxguy11#3353";"27-Jul-17 10:13 PM";"ABCco. 2 or 3";"";
"linuxguy11#3353";"27-Jul-17 10:14 PM";"try the cargo bomber";"";
"linuxguy11#3353";"27-Jul-17 10:14 PM";"1 opens the bay";"";
"linuxguy11#3353";"27-Jul-17 10:14 PM";"2, 3, and 4 drops bomb groups";"";
"linuxguy11#3353";"27-Jul-17 10:14 PM";"5 rocketds";"";
"linuxguy11#3353";"27-Jul-17 10:15 PM";"6 CM";"";
"linuxguy11#3353";"27-Jul-17 10:15 PM";"7 Cm";"";
"linuxguy11#3353";"27-Jul-17 10:15 PM";"its kinda sloew";"";
"Senvr#7635";"27-Jul-17 10:15 PM";"eh";"";
"Senvr#7635";"27-Jul-17 10:17 PM";"Im gonna make a mobile operations base";"";
"Senvr#7635";"27-Jul-17 10:17 PM";"MOB";"";
"linuxguy11#3353";"27-Jul-17 10:17 PM";"ok";"";
"Senvr#7635";"27-Jul-17 10:17 PM";"As in it is self sufficient";"";
"linuxguy11#3353";"27-Jul-17 10:17 PM";"ok";"";
"linuxguy11#3353";"27-Jul-17 10:21 PM";"how do you like my planes?";"";
"Senvr#7635";"27-Jul-17 10:22 PM";"Seems legit";"";
"linuxguy11#3353";"27-Jul-17 10:22 PM";"ok?";"";
"Senvr#7635";"27-Jul-17 10:22 PM";"They're cool";"";
"linuxguy11#3353";"27-Jul-17 10:22 PM";"ah";"";
"Senvr#7635";"27-Jul-17 10:23 PM";"does your infernal robotics work?
if so send me it, i cant get mine to";"";
"linuxguy11#3353";"27-Jul-17 10:24 PM";"NA";"";
"linuxguy11#3353";"27-Jul-17 10:24 PM";"sadly";"";
"linuxguy11#3353";"27-Jul-17 10:41 PM";"iteresting how the ABCco 4 can fly fine with MAJOR wing damage";"";
"linuxguy11#3353";"27-Jul-17 10:41 PM";"almost even with an engine out";"";
"linuxguy11#3353";"27-Jul-17 10:42 PM";"well not as in *not working* but literally with it broken off the plane";"";
"linuxguy11#3353";"27-Jul-17 10:43 PM";"heaviest parts of plabne are engione and fuel";"";
"linuxguy11#3353";"27-Jul-17 10:43 PM";"anyways when you can, diont forget to stock the *f u r n i*";"";
"Senvr#7635";"27-Jul-17 11:54 PM";"F O U N D  A  P I P E  A X E";"";
"Senvr#7635";"27-Jul-17 11:55 PM";"around same time i went to get wood";"";
"Senvr#7635";"27-Jul-17 11:55 PM";"YO AND A SALVAGED PICK";"";
"Senvr#7635";"27-Jul-17 11:57 PM";"Depo'd them";"";
"Senvr#7635";"27-Jul-17 11:57 PM";"not gonna risk";"";
